"Timestamp","Tvoj trenutni status","Povprečna NETO urna postavka za delo, ki si ga opravil/a preko študentske napotnice.","V zadnjih treh mesecih sem povprečno delal/a na teden","Vrsta zaposlitve","Obseg dela","Povprečna mesečna BRUTO plača v zadnjih treh mesecih.","Primarno tržišče delodajalca","Sedež delodajalca je","Koliko let si že zaposlen/a pri trenutnem delodajalcu?","Opravljaš delo na daljavo (remote work)?","Ali trenutno aktivno iščeš novo zaposlitev?","Imaš odprt še s.p.? (""popoldanski s.p."")","Število različnih naročnikov v zadnjih 6 mesecih","Povprečen mesečni BRUTO prihodek v zadnjih 6ih mesecih","Koliko odstotkov LETNEGA prihodka ti predstavlja največji naročnik?","Primarno tržišče največjega naročnika je ","Sedež največjega naročnika je ","Znam naslednje programske jezike","Največ dela opravim kot...","Koliko let že programiraš?","Koliko let poklicno programiraš?","Identificiram se kot","Starost","Prebivam v..."
"2022/10/18 11:17:15 AM GMT+1","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","4500€ - 4999€","tujina, Evropska unija","tujina, Evropska unija","1 - 2 leti","da, a manj kot polni delovni čas","ne","da","2 - 4","5500€ - 5999€","70 - 84","tujina, Evropska unija","Slovenija","HTML/CSS (sass/scss/...);SQL;C#;TypeScript","produktni/projektni vodja (PM)","več kot 10 let","več kot 10 let","moški","41-50","podravska regija"
"2022/10/18 11:17:33 AM GMT+1","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","4500€ - 4999€","tujina, Evropska unija","tujina, Evropska unija","manj kot 1 leto","da, a manj kot polni delovni čas","ne","da","2 - 4","1000€ - 1499€","40 - 55","Slovenija","Slovenija","JavaScript;HTML/CSS (sass/scss/...);SQL;C#","spletni razvijalec/ka (back-end)","več kot 10 let","več kot 10 let","moški","31-40","osrednjeslovenska regija"
"2022/10/18 11:18:41 AM GMT+1","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","3000€ - 3499€","Slovenija","Slovenija","1 - 2 leti","da, a manj kot polni delovni čas","da","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;C#","spletni razvijalec/ka (full-stack)","več kot 10 let","8 - 9 let","moški","31-40","koroška regija"
"2022/10/18 11:18:53 AM GMT+1","delo opravljam prek s. p.","","","","","","","","","","","","2 - 4","5000€ - 5499€","40 - 55","tujina, ZDA","tujina, ZDA","JavaScript;HTML/CSS (sass/scss/...);SQL;Java;Python;C;TypeScript;Kotlin;Bash","spletni razvijalec/ka (full-stack)","6 - 7 let","4 - 5 let","moški","26-30","podravska regija"
"2022/10/18 11:19:24 AM GMT+1","delo opravljam prek s. p.","","","","","","","","","","","","2 - 4","3000€ - 3499€","70 - 84","Slovenija","Slovenija","JavaScript;HTML/CSS (sass/scss/...);PHP","UI/UX razvijalec/ka","2 - 3 leta","manj kot 1 leto","moški","26-30","gorenjska regija"
"2022/10/18 11:19:26 AM GMT+1","delo opravljam prek s. p.","","","","","","","","","","","","1","4500€ - 4999€","100%","tujina, ZDA","tujina, ZDA","JavaScript;SQL;Java;C#;PHP","vodja ekipe (team lead)","6 - 7 let","4 - 5 let","moški","26-30","podravska regija"
"2022/10/18 11:19:34 AM GMT+1","delo opravljam prek s. p.","","","","","","","","","","","","2 - 4","5500€ - 5999€","85 - 99%","Slovenija","Slovenija","SQL;Java;Go;Bash","spletni razvijalec/ka (back-end)","več kot 10 let","8 - 9 let","moški","26-30","osrednjeslovenska regija"
"2022/10/18 11:19:45 AM GMT+1","delo opravljam prek s. p.","","","","","","","","","","","","5 - 9","2500€ - 2999€","85 - 99%","tujina, drugo","tujina, drugo","HTML/CSS (sass/scss/...);PHP","vodja ekipe (team lead)","več kot 10 let","6 - 7 let","moški","31-40","osrednjeslovenska regija"
"2022/10/18 11:20:04 AM GMT+1","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","4000€ - 4499€","Slovenija","Slovenija","1 - 2 leti","da, a manj kot polni delovni čas","ne","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;C#","spletni razvijalec/ka (full-stack)","več kot 10 let","5 - 6 let","moški","26-30","obalno-kraška regija"
"2022/10/18 11:20:04 AM GMT+1","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","3500€ - 3999€","tujina, Evropska unija","tujina, Evropska unija","manj kot 1 leto","da, za polni delovni čas","ne","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;Java;Python;TypeScript;Go","spletni razvijalec/ka (full-stack)","3 - 4 leta","2 - 3 leta","moški","26-30","osrednjeslovenska regija"
