Timestamp,Tvoj trenutni status,"Povprečna NETO urna postavka za delo, ki si ga opravil/a preko študentske napotnice.",V zadnjih treh mesecih sem povprečno delal/a na teden,Vrsta zaposlitve,Obseg dela,Povprečna mesečna BRUTO plača v zadnjih treh mesecih.,Tvoja celoletna BRUTO kompenzacija,Primarno tržišče delodajalca,Sedež delodajalca je,Koliko let si že zaposlen/a pri trenutnem delodajalcu?,Opravljaš delo na daljavo (remote work)?,Ali trenutno aktivno iščeš novo zaposlitev?,"Imaš odprt še s.p.? (""popoldanski s.p."")",Število različnih naročnikov v zadnjih 6 mesecih,Povprečen mesečni BRUTO prihodek v zadnjih 6ih mesecih,Koliko odstotkov LETNEGA prihodka ti predstavlja največji naročnik?,Primarno tržišče največjega naročnika je ,Sedež največjega naročnika je ,Znam naslednje programske jezike,Največ dela opravim kot...,Koliko let že programiraš?,Koliko let poklicno programiraš?,Identificiram se kot,Starost,Prebivam v...
10/14/2023 22:25:20,delo opravljam prek s. p.,,,,,,,,,,,,,5 - 9,2500€ - 2999€,70 - 84,Slovenija,Slovenija,"JavaScript, HTML/CSS (sass/scss/...), PHP",produktni/projektni vodja (PM),več kot 10 let,8 - 9 let,moški,31-40,osrednjeslovenska regija
10/14/2023 23:11:21,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,5500€ - 5999€,70 - 84,"tujina, Evropska unija","tujina, Evropska unija","JavaScript, HTML/CSS (sass/scss/...), SQL, PHP, TypeScript, Go",spletni razvijalec/ka (full-stack),več kot 10 let,več kot 10 let,moški,več kot 50 let,osrednjeslovenska regija
10/16/2023 11:35:16,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4500€ - 4999€,55000€ - 59999€,"tujina, drugo","tujina, Evropska unija",4 - 5 let,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, Python, C++, C, Bash",specialist/ka strojnega učenja,več kot 10 let,7 - 8 let,moški,31-40,osrednjeslovenska regija
10/16/2023 11:35:23,redno zaposlen/a,,,pogodba za nedoločen čas,drugo,3500€ - 3999€,50000€ - 54999€,"tujina, Evropska unija","tujina, Evropska unija",3 - 4 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, TypeScript",spletni razvijalec/ka (full-stack),7 - 8 let,6 - 7 let,moški,26-30,tujina
10/16/2023 11:36:36,dijak/študent (delo opravljam prek študentske napotnice),"7,0€ - 7,99€",20 ur (polovični delovnik),,,,,,,,,,,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python",spletni razvijalec/ka (front-end),1 - 2 leti,1 - 2 leti,ženska,26-30,podravska regija
10/16/2023 11:36:53,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,,Slovenija,Slovenija,6 - 7 let,"da, za polni delovni čas",ne,ne,,,,,,"HTML/CSS (sass/scss/...), SQL, C#",razvijalec/ka namiznih aplikacij,več kot 10 let,več kot 10 let,moški,41-50,savinjska regija
10/16/2023 11:38:22,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,50000€ - 54999€,"tujina, Evropska unija",Slovenija,7 - 8 let,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, Python, TypeScript",DevOps,9 - 10 let,7 - 8 let,moški,31-40,podravska regija
10/16/2023 11:39:44,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,35000€ - 39999€,Slovenija,Slovenija,4 - 5 let,"ne, delodajalec ne omogoča dela na daljavo",da,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, PHP, TypeScript",spletni razvijalec/ka (full-stack),5 - 6 let,5 - 6 let,moški,26-30,zasavska regija
10/16/2023 11:40:09,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,30000€ - 34999€,Slovenija,Slovenija,2 - 3 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, TypeScript",spletni razvijalec/ka (full-stack),6 - 7 let,5 - 6 let,moški,26-30,primorsko-notranjska regija
10/16/2023 11:40:38,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,20000€ - 24999€,"tujina, Evropska unija",Slovenija,manj kot 1 leto,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, C++, C, TypeScript",spletni razvijalec/ka (full-stack),3 - 4 leta,2 - 3 leta,moški,26-30,osrednjeslovenska regija
10/16/2023 11:42:27,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,25000€ - 29999€,"tujina, Evropska unija",Slovenija,5 - 6 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, TypeScript",spletni razvijalec/ka (back-end),8 - 9 let,5 - 6 let,moški,31-40,goriška regija
10/16/2023 11:42:53,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),5000€ - 5499€,65000€ - 69999€,"tujina, Evropska unija",Slovenija,2 - 3 leta,"da, za polni delovni čas",ne,da,2 - 4,4500€ - 4999€,70 - 84,"tujina, ZDA","tujina, ZDA","JavaScript, HTML/CSS (sass/scss/...), SQL, C#, TypeScript",spletni razvijalec/ka (full-stack),8 - 9 let,6 - 7 let,moški,26-30,osrednjeslovenska regija
10/16/2023 11:43:47,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),1500€ - 1999€,pod 15000€,Slovenija,Slovenija,2 - 3 leta,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), Java, TypeScript",spletni razvijalec/ka (front-end),2 - 3 leta,2 - 3 leta,moški,19-25,gorenjska regija
10/16/2023 11:43:58,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,35000€ - 39999€,Slovenija,Slovenija,manj kot 1 leto,"da, a manj kot polni delovni čas",ne,ne,,,,,,"Java, C#, Scala",spletni razvijalec/ka (back-end),več kot 10 let,6 - 7 let,moški,31-40,jugovzhodna regija
10/16/2023 11:44:33,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,30000€ - 34999€,Slovenija,Slovenija,4 - 5 let,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), Java",spletni razvijalec/ka (front-end),4 - 5 let,4 - 5 let,moški,26-30,osrednjeslovenska regija
10/16/2023 11:44:59,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,35000€ - 39999€,Slovenija,Slovenija,manj kot 1 leto,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, Python, TypeScript",spletni razvijalec/ka (full-stack),6 - 7 let,1 - 2 leti,moški,19-25,podravska regija
10/16/2023 11:45:36,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,70000€ - 74999€,"tujina, Evropska unija","tujina, ZDA",5 - 6 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"SQL, Java, C#, Kotlin, Bash, Perl",vodja ekipe (team lead),9 - 10 let,5 - 6 let,moški,31-40,zasavska regija
10/16/2023 11:46:46,delo opravljam prek s. p.,,,,,,,,,,,,,1,6000€ - 6499€,100%,"tujina, Evropska unija","tujina, drugo","JavaScript, HTML/CSS (sass/scss/...), SQL, Python",produktni/projektni vodja (PM),več kot 10 let,več kot 10 let,ženska,41-50,osrednjeslovenska regija
10/16/2023 11:46:47,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,35000€ - 39999€,"tujina, drugo",Slovenija,1 - 2 leti,"da, za polni delovni čas",ne,ne,,,,,,JavaScript,drugo,manj kot 1 leto,manj kot 1 leto,moški,31-40,gorenjska regija
10/16/2023 11:47:28,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,50000€ - 54999€,"tujina, Evropska unija",Slovenija,8 - 9 let,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"Python, C++, C, LabVIEW",svetovalec/ka za specifično tehnologijo,9 - 10 let,8 - 9 let,moški,31-40,osrednjeslovenska regija
10/16/2023 11:47:55,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,30000€ - 34999€,"tujina, Evropska unija","tujina, ZDA",2 - 3 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"SQL, Python",razvijalec/ka s statističnim/matematičnim ozadjem,manj kot 1 leto,manj kot 1 leto,moški,41-50,osrednjeslovenska regija
10/16/2023 11:48:40,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,35000€ - 39999€,"tujina, Evropska unija",Slovenija,1 - 2 leti,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, Python, C++",razvijalec/ka namiznih aplikacij,9 - 10 let,3 - 4 leta,moški,26-30,goriška regija
10/16/2023 11:48:56,dijak/študent (delo opravljam prek študentske napotnice),"7,0€ - 7,99€",manj kot 20 ur,,,,,,,,,,,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, Python, TypeScript",spletni razvijalec/ka (full-stack),5 - 6 let,manj kot 1 leto,moški,19-25,pomurska regija
10/16/2023 11:49:10,delo opravljam prek s. p.,,,,,,,,,,,,,1,7000€ - 7499€,100%,"tujina, Evropska unija","tujina, Evropska unija","JavaScript, HTML/CSS (sass/scss/...), TypeScript",spletni razvijalec/ka (front-end),več kot 10 let,več kot 10 let,moški,31-40,osrednjeslovenska regija
10/16/2023 11:49:31,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),7000€ - 7499€,več kot 100000€,"tujina, Evropska unija","tujina, Evropska unija",3 - 4 leta,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, TypeScript",vodja razvoja (CTO),več kot 10 let,več kot 10 let,moški,31-40,tujina
10/16/2023 11:50:13,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,25000€ - 29999€,Slovenija,Slovenija,1 - 2 leti,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, TypeScript",spletni razvijalec/ka (full-stack),3 - 4 leta,1 - 2 leti,moški,19-25,osrednjeslovenska regija
10/16/2023 11:50:14,dijak/študent (delo opravljam prek študentske napotnice),"11,00€ - 11,99€",40 ur (polni delovnik),,,,,,,,,,,,,,,,"SQL, Java, C#, Python",spletni razvijalec/ka (back-end),7 - 8 let,3 - 4 leta,moški,19-25,zasavska regija
10/16/2023 11:50:25,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,40000€ - 44999€,"tujina, Evropska unija",Slovenija,1 - 2 leti,"da, za polni delovni čas",ne,ne,,,,,,Java,spletni razvijalec/ka (back-end),4 - 5 let,4 - 5 let,moški,26-30,podravska regija
10/16/2023 11:50:28,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,30000€ - 34999€,Slovenija,Slovenija,manj kot 1 leto,"da, za polni delovni čas",ne,ne,,,,,,"SQL, C#",spletni razvijalec/ka (full-stack),9 - 10 let,8 - 9 let,moški,31-40,koroška regija
10/16/2023 11:51:26,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,55000€ - 59999€,Slovenija,Slovenija,4 - 5 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, PHP",sistemski integrator/ka,9 - 10 let,4 - 5 let,moški,19-25,zasavska regija
10/16/2023 11:51:37,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,30000€ - 34999€,Slovenija,Slovenija,več kot 10 let,"ne, delodajalec ne omogoča dela na daljavo",ne,ne,,,,,,"Bash, ",sistemski administrator/ka,več kot 10 let,manj kot 1 leto,moški,41-50,osrednjeslovenska regija
10/16/2023 11:51:37,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),5000€ - 5499€,65000€ - 69999€,Slovenija,Slovenija,5 - 6 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, Python, TypeScript, Bash",spletni razvijalec/ka (back-end),več kot 10 let,8 - 9 let,moški,26-30,jugovzhodna regija
10/16/2023 11:51:42,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,40000€ - 44999€,"tujina, ZDA",Slovenija,9 - 10 let,"ne, delodajalec ne omogoča dela na daljavo",ne,ne,,,,,,"JavaScript, SQL, Python, C, Bash",spletni razvijalec/ka (back-end),več kot 10 let,več kot 10 let,moški,31-40,osrednjeslovenska regija
