Timestamp,Tvoj trenutni status,"Povprečna NETO urna postavka za delo, ki si ga opravil/a preko študentske napotnice.",V zadnjih treh mesecih sem povprečno delal/a na teden,Vrsta zaposlitve,Obseg dela,Povprečna mesečna BRUTO plača v zadnjih treh mesecih.,"Povprečni celoletni BRUTO dodatki (bonusi, delnice, RSU, drugi dodatki...)",Primarno tržišče delodajalca,Sedež delodajalca je,Koliko let si že zaposlen/a pri trenutnem delodajalcu?,Opravljaš delo na daljavo (remote work)?,Ali trenutno aktivno iščeš novo zaposlitev?,"Imaš odprt še s.p.? (""popoldanski s.p."")",Število različnih naročnikov v zadnjih 6 mesecih,Povprečen mesečni BRUTO prihodek v zadnjih 6ih mesecih,Koliko odstotkov LETNEGA prihodka ti predstavlja največji naročnik?,Primarno tržišče največjega naročnika je ,Sedež največjega naročnika je ,Znam naslednje programske jezike,Največ dela opravim kot...,Koliko let že programiraš?,Koliko let poklicno programiraš?,Identificiram se kot,Starost,Prebivam v...
10/1/2024 9:09:29,dijak/študent (delo opravljam prek študentske napotnice),"10,00€ - 10,99€",med 20 - 40 ur,,,,,,,,,,,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, TypeScript, Go",spletni razvijalec/ka (front-end),4 - 5 let,2 - 3 leta,moški,19-25,podravska regija
10/1/2024 9:09:56,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4500€ - 4999€,65000€ - 69999€,"tujina, ZDA",Slovenija,2 - 3 leta,"da, a manj kot polni delovni čas",ne,da,1,2000€ - 2499€,pod 25 %,Slovenija,Slovenija,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, PHP, TypeScript",spletni razvijalec/ka (full-stack),več kot 10 let,7 - 8 let,moški,31-40,osrednjeslovenska regija
10/1/2024 9:10:39,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,4500€ - 4999€,55 - 70,Slovenija,Slovenija,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, PHP, TypeScript, Bash",vodja razvoja (CTO),več kot 10 let,8 - 9 let,moški,31-40,podravska regija
10/1/2024 9:10:54,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,4000€ - 4499€,100%,"tujina, Evropska unija",Slovenija,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, PHP, TypeScript",spletni razvijalec/ka (full-stack),več kot 10 let,7 - 8 let,moški,31-40,goriška regija
10/1/2024 9:11:33,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,5500€ - 5999€,85 - 99%,"tujina, Evropska unija","tujina, Evropska unija","JavaScript, HTML/CSS (sass/scss/...), TypeScript",spletni razvijalec/ka (full-stack),8 - 9 let,6 - 7 let,moški,31-40,goriška regija
10/1/2024 9:12:25,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,5000€ - 9999€,"tujina, ZDA","tujina, ZDA",1 - 2 leti,"da, a manj kot polni delovni čas",ne,ne,,,,,,"SQL, C#, Python, Go",DevOps,4 - 5 let,3 - 4 leta,moški,26-30,podravska regija
10/1/2024 9:14:17,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,30000€ - 34999€,"tujina, Evropska unija","tujina, Evropska unija",3 - 4 leta,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, TypeScript",spletni razvijalec/ka (full-stack),8 - 9 let,7 - 8 let,moški,31-40,obalno-kraška regija
10/1/2024 9:14:18,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4500€ - 4999€,40000€ - 44999€,"tujina, ZDA",Slovenija,2 - 3 leta,"da, za polni delovni čas",ne,ne,,,,,,"Python, Ruby, Go, Bash",sistemski administrator/ka,7 - 8 let,5 - 6 let,moški,26-30,goriška regija
10/1/2024 9:14:19,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,pod 5000€,Slovenija,Slovenija,1 - 2 leti,"da, za polni delovni čas",ne,ne,,,,,,"HTML/CSS (sass/scss/...), SQL, C#",spletni razvijalec/ka (full-stack),več kot 10 let,7 - 8 let,moški,31-40,koroška regija
10/1/2024 9:14:33,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,,"tujina, Evropska unija",Slovenija,3 - 4 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, PHP",razvijalec/ka iger (gamedev),več kot 10 let,6 - 7 let,moški,26-30,podravska regija
10/1/2024 9:14:55,redno zaposlen/a,,,pogodba za nedoločen čas,,3500€ - 3999€,45000€ - 49999€,Slovenija,Slovenija,4 - 5 let,"da, a manj kot polni delovni čas",da,ne,,,,,,C#,vodja ekipe (team lead),več kot 10 let,6 - 7 let,moški,31-40,jugovzhodna regija
10/1/2024 9:14:57,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,10000€ - 14999€,"tujina, Evropska unija",Slovenija,5 - 6 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"Java, Kotlin",razvijalec/ka mobilnih aplikacij (Android),9 - 10 let,6 - 7 let,moški,26-30,koroška regija
10/1/2024 9:16:01,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,30000€ - 34999€,Slovenija,Slovenija,4 - 5 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, Java, C",spletni razvijalec/ka (back-end),5 - 6 let,4 - 5 let,moški,26-30,osrednjeslovenska regija
10/1/2024 9:16:02,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,35000€ - 39999€,Slovenija,Slovenija,več kot 10 let,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"JavaScript, SQL, C#, C++, TypeScript, Kotlin",razvijalec/ka namiznih aplikacij,več kot 10 let,več kot 10 let,moški,41-50,gorenjska regija
